WeekOfYear,RankThisWeek,RankKastWeek,Title,Studio,Revenue(USD),NumOfTheaters,ReleaseWeek
1,1,1,Star Wars: The Force Awakens,BV,118413774,4134,3
1,2,2,Daddy's Home,Par.,36629298,3342,2
1,3,9,The Hateful Eight,Wein.,21783610,2474,2
1,4,5,Sisters,Uni.,17586565,2860,3
1,5,3,Alvin and the Chipmunks: The Road Chip,Fox,14532912,3474,3
1,6,4,Joy,Fox,13745514,2924,2
1,7,6,The Big Short,Par.,12554659,1588,4
1,8,7,Concussion (2015),Sony,10497909,2841,2
1,9,8,Point Break (2015),WB,9024088,2910,2
1,10,10,The Hunger Games: Mockingjay - Part 2,LGF,5902489,1485,7
1,11,11,The Good Dinosaur,BV,4973915,1735,6
1,12,12,Creed,WB (NL),4706329,1375,6
1,13,14,The Danish Girl,Focus,2253865,449,6
1,14,15,Brooklyn,FoxS,1819964,285,9
1,15,18,Carol,Wein.,1717159,189,7
1,16,16,Spotlight,ORF,1694127,365,9
1,17,13,Krampus,Uni.,994495,663,5
1,18,20,Spectre,Sony,993944,331,9
1,19,17,Bajirao Mastani,Eros,965096,302,3
1,20,19,In the Heart of the Sea,WB,939654,533,4
1,21,23,The Martian,Fox,765669,282,14
1,22,24,The Revenant,Fox,684382,4,2
1,23,22,The Peanuts Movie,Fox,641228,320,9
1,24,26,Youth,FoxS,515967,144,5
1,25,25,Mr. Six,CL,408605,28,2
1,26,21,Dilwale,UTV,389191,134,3
1,27,27,Hotel Transylvania 2,Sony,380858,196,15
1,28,29,Goosebumps,Sony,297572,184,12
1,29,31,Trumbo (2015),BST,246097,90,9
1,30,32,Bridge of Spies,BV,229598,109,12
1,31,40,Anomalisa,Par.,194122,4,1
1,32,35,Room,A24,190151,91,12
1,33,34,The Intern,WB,189786,151,15
1,34,33,Love the Coopers,LGF,180721,213,8
1,35,28,Mojin: The Lost Legend,WGUSA,175657,19,3
1,36,41,The Himalayas,CJ,155100,36,3
1,37,30,The Night Before,Sony,128756,132,7
1,38,36,45 Years,IFC,122505,6,2
1,39,,Ho Mann Jahaan,Eros,97483,19,1
1,40,37,The 33,WB,94993,111,8
1,41,38,Macbeth (2015),Wein.,82053,25,5
1,42,,Devil and Angel (E Gun Tian Shi),CL,81933,12,1
1,43,39,Sicario,LGF,74810,59,16
1,44,43,The Secret in their Eyes (2015),STX,68855,67,7
1,45,44,Son of Saul,SPC,50845,4,3
1,46,42,Chi-Raq,RAtt.,41300,17,5
1,47,49,Mustang,Cohen,39395,12,7
1,48,45,Maze Runner: The Scorch Trials,Fox,39388,48,16
1,49,50,Janis: Little Girl Blue,FR,38044,13,6
1,50,,Chimes at Midnight (2016 re-release),Jan.,34824,2,1
1,51,46,Hubble 3D,WB,32310,4,283
1,52,47,Pan,WB,30863,56,13
1,53,,Only Yesterday (2016 re-release),GK,24875,1,1
1,54,54,Suffragette,Focus,24383,21,11
1,55,52,Peggy Guggenheim Art Addict,SD,23690,9,9
1,56,48,Legend,Uni.,20870,13,7
1,57,53,Hitchcock/Truffaut,Cohen,14201,6,5
1,58,56,Heart of a Dog,Abr.,10770,8,11
1,59,55,Under the Sea 3D,WB,8947,1,339
1,60,60,The Letters,Free,7950,6,5
1,61,70,Theeb,FM,7223,8,9
1,62,63,Grandma (2015),SPC,7012,7,20
1,63,58,Woodlawn,PFR,6938,8,12
1,64,75,Remember,EOne,6436,5,12
1,65,59,Labyrinth of Lies,SPC,6254,4,14
1,66,,Yosemite,Mont.,5754,2,1
1,67,,The Winding Stream,Argo.,5544,1,3
1,68,57,Born to Be Wild (IMAX),WB,5294,2,226
1,69,,Rosenwald,CIE,3950,2,18
1,70,61,Noma - My Perfect Storm,Magn.,3510,5,3
1,71,68,Truth,SPC,3215,5,12
1,72,,Amy,A24,2689,2,27
1,73,73,Burnt,Wein.,2596,2,10
1,74,,The Wonders,Osci.,2573,5,9
1,75,78,Jafar Panahi's Taxi,KL,2548,3,14
1,76,79,The World of Kanako,Drft.,2044,3,5
1,77,,Deep Sea 3D (IMAX),WB,2010,1,468
1,78,64,Journey to the South Pacific,Imax,1868,4,90
1,79,71,Pearl Button,KL,1627,1,11
1,80,65,Island of Lemurs: Madagascar (IMAX),WB,1496,3,92
1,81,,Flowers,MBox,1335,2,10
1,82,,The Summer of Sangaile,Strand,742,2,6
1,83,67,In Jackson Heights,Zipp.,660,2,9
1,84,74,Arabian Nights: Volume 1 - The Restless One,KL,659,1,5
1,85,62,Yellow Day (2015),PFP,639,3,4
1,86,72,The Lady in the Car with Glasses and a Gun,Magn.,225,1,3
1,88,76,Arabian Nights: Volume 2 - The Desolate One,KL,162,1,4
1,87,80,Entertainment,Magn.,162,2,8
1,89,77,Arabian Nights: Volume 3 - The Enchanted One,KL,152,1,3
2,1,22,The Revenant,Fox,56617868,3375,3
2,2,1,Star Wars: The Force Awakens,BV,55551798,4134,4
2,3,2,Daddy's Home,Par.,18642526,3483,3
2,4,,The Forest,Focus,15333634,2451,1
2,5,4,Sisters,Uni.,9723685,2864,4
2,6,3,The Hateful Eight,Wein.,9025671,2938,3
2,7,7,The Big Short,Par.,8771045,2529,5
2,8,5,Alvin and the Chipmunks: The Road Chip,Fox,6604686,2972,4
2,9,6,Joy,Fox,6594660,2513,3
2,10,8,Concussion (2015),Sony,4125952,2056,3
2,11,9,Point Break (2015),WB,2891678,1981,3
2,12,10,The Hunger Games: Mockingjay - Part 2,LGF,2707258,1227,8
2,13,15,Carol,Wein.,2177561,525,8
2,14,11,The Good Dinosaur,BV,2103228,1190,7
2,15,12,Creed,WB (NL),2073109,1001,7
2,16,14,Brooklyn,FoxS,1565654,294,10
2,17,16,Spotlight,ORF,1355157,368,10
2,18,13,The Danish Girl,Focus,1284332,417,7
2,19,,Wazir,Relbig.,715211,111,1
2,20,18,Spectre,Sony,563084,379,10
2,21,21,The Martian,Fox,562018,271,15
2,22,23,The Peanuts Movie,Fox,333295,286,10
2,23,19,Bajirao Mastani,Eros,318917,302,4
2,24,31,Anomalisa,Par.,305458,17,2
2,25,24,Youth,FoxS,267261,95,6
2,26,20,In the Heart of the Sea,WB,261977,222,5
2,27,36,The Himalayas,CJ,257188,36,4
2,28,27,Hotel Transylvania 2,Sony,242106,177,16
2,29,32,Room,A24,220606,88,13
2,30,17,Krampus,Uni.,216695,245,6
2,31,,The Masked Saint,Free,179635,482,1
2,32,25,Mr. Six,CL,177932,32,3
2,33,28,Goosebumps,Sony,176305,164,13
2,34,29,Trumbo (2015),BST,166457,90,10
