チーム,年,選手名,左右,試合数,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四球,死球,三振,併殺打
日本ハム,2017,淺間　大基,左打ち,19,44,42,2,7,3,0,0,10,3,1,0,0,0,2,0,0,17,1
日本ハム,2017,新垣　勇人,右打ち,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,有原　航平,右打ち,25,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0
日本ハム,2017,飯山　裕志,右打ち,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
日本ハム,2017,井口　和朋,右打ち,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,石井　一成,左打ち,114,361,317,33,65,8,2,3,86,24,3,5,14,1,28,0,1,113,6
日本ハム,2017,石井　裕也,左打ち,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,石川　直也,右打ち,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,市川　友也,右打ち,57,154,135,12,23,7,0,1,33,8,0,0,8,1,6,0,4,32,3
日本ハム,2017,今井　順之助,左打ち,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
日本ハム,2017,上原　健太,左打ち,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,浦野　博司,右打ち,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,上沢　直之,右打ち,15,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
日本ハム,2017,エスコバー,左打ち,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,榎下　陽大,右打ち,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,太田　賢吾,左打ち,40,88,82,9,14,2,1,1,21,6,0,0,4,0,2,0,0,21,1
日本ハム,2017,大田　泰示,右打ち,118,457,427,41,110,21,1,15,178,46,5,2,0,2,28,0,0,88,14
日本ハム,2017,大谷　翔平,左打ち,65,231,202,24,67,16,1,8,109,31,0,1,0,3,24,0,2,63,0
日本ハム,2017,大野　奨太,右打ち,83,183,154,13,34,5,0,3,48,13,0,1,8,1,16,0,4,30,1
日本ハム,2017,大累　進,右打ち,13,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
日本ハム,2017,岡　大海,右打ち,60,132,124,15,21,4,1,0,27,7,6,2,3,1,4,0,0,34,4
日本ハム,2017,鍵谷　陽平,右打ち,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,加藤　貴之,左打ち,21,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
日本ハム,2017,岸里　亮佑,左打ち,7,14,14,1,2,1,0,0,3,0,0,0,0,0,0,0,0,3,0
日本ハム,2017,公文　克彦,左打ち,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,黒羽根　利規,右打ち,19,30,29,1,8,2,0,0,10,1,0,0,1,0,0,0,0,6,0
日本ハム,2017,郡　拓也,右打ち,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
日本ハム,2017,近藤　健介,左打ち,57,231,167,32,69,15,0,3,93,29,3,0,0,2,60,0,2,27,3
日本ハム,2017,斎藤　佑樹,右打ち,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
日本ハム,2017,清水　優心,右打ち,61,120,111,7,22,4,0,1,29,10,0,0,3,1,5,0,0,35,4
日本ハム,2017,杉谷　拳士,左右打ち,35,85,75,5,11,2,1,0,15,3,1,0,5,0,5,0,0,20,1
日本ハム,2017,高梨　裕稔,右打ち,22,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
日本ハム,2017,髙濱　祐仁,右打ち,3,12,11,0,2,0,0,0,2,0,0,0,0,0,1,0,0,5,0
日本ハム,2017,武田　久,左打ち,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,田中　賢介,左打ち,107,349,314,22,79,6,1,2,93,18,11,4,0,0,35,1,0,36,4
日本ハム,2017,田中　豊樹,右打ち,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,谷元　圭介,右打ち,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,玉井　大翔,右打ち,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日本ハム,2017,ドレイク,右打ち,35,86,82,4,19,2,0,1,24,3,0,0,0,0,3,0,1,22,2
