team,name,money
広島,ジョンソン,32000.0
広島,野村祐輔,10000.0
広島,ジャクソン,9625.0
広島,中﨑翔太,8500.0
広島,ヘーゲンズ,7700.0
広島,ブレイシア,5600.0
広島,大瀬良大地,4500.0
広島,福井優也,4100.0
広島,永川勝浩,3700.0
広島,一岡竜司,2800.0
広島,岡田明丈,2520.0
広島,戸田隆矢,2300.0
広島,九里亜蓮,2200.0
広島,中田廉,2000.0
広島,江草仁貴,1600.0
広島,加藤拓也,1500.0
広島,薮田和樹,1400.0
広島,横山弘樹,1250.0
広島,小野淳平,1200.0
広島,仲尾次オスカル,1100.0
広島,今井啓介,1000.0
広島,飯田哲矢,980.0
広島,中村恭平,900.0
広島,床田寛樹,700.0
広島,塹江敦哉,650.0
広島,佐藤祥万,600.0
広島,高橋昂也,600.0
広島,藤井皓哉,500.0
広島,高橋樹也,500.0
広島,アドゥワ誠,480.0
広島,中村祐太,450.0
広島,辻空,430.0
広島,菊池涼介,14500.0
広島,丸佳浩,14000.0
広島,石原慶幸,12000.0
広島,新井貴浩,11000.0
広島,エルドレッド,11000.0
広島,田中広輔,7800.0
広島,鈴木誠也,6000.0
広島,松山竜平,4000.0
広島,小窪哲也,4000.0
広島,梵英心,4000.0
広島,赤松真人,3600.0
広島,會澤翼,2800.0
広島,天谷宗一郎,2400.0
広島,安部友裕,2100.0
広島,堂林翔太,1650.0
広島,野間峻祥,1400.0
広島,下水流昂,1200.0
広島,岩本貴裕,1200.0
広島,西川龍馬,930.0
広島,船越涼太,800.0
広島,磯村嘉孝,770.0
広島,白濱裕太,700.0
広島,上本崇司,700.0
広島,土生翔平,600.0
広島,庄司隼人,580.0
広島,美間優槻,550.0
広島,髙橋大樹,550.0
広島,桒原樹,500.0
広島,坂倉将吾,500.0
広島,青木陸,450.0
広島,多田大輔,450.0
広島,中村亘佑,450.0
広島,松浦耕大,400.0
広島,木村聡司,350.0
巨人,山口鉄也,32000.0
巨人,菅野智之,23000.0
巨人,山口俊,23000.0
巨人,森福允彦,20000.0
巨人,内海哲也,20000.0
巨人,澤村拓一,15000.0
巨人,カミネロ,13200.0
巨人,吉川光夫,9500.0
巨人,西村健太朗,7800.0
巨人,大竹寛,7000.0
巨人,田口麗斗,5000.0
巨人,杉内俊哉,5000.0
巨人,田原誠次,4500.0
巨人,高木勇人,3700.0
巨人,宮国椋丞,2700.0
巨人,戸根千明,2500.0
巨人,今村信貴,1600.0
巨人,桜井俊貴,1200.0
巨人,畠世周,1200.0
巨人,江柄子裕樹,1110.0
巨人,谷岡竜平,1000.0
巨人,池田駿,1000.0
巨人,乾真大,950.0
巨人,中川皓太,840.0
巨人,土田瑞起,800.0
巨人,廖任磊,800.0
巨人,田中大輝,720.0
巨人,与那原大剛,610.0
巨人,巽大介,550.0
巨人,長谷川潤,500.0
巨人,高田萌生,500.0
巨人,大江竜聖,480.0
巨人,篠原慎平,310.0
巨人,成瀬功亮,290.0
巨人,矢島陽平,280.0
巨人,大竹秀義,270.0
巨人,橋本篤郎,245.0
巨人,髙井俊,240.0
巨人,山川和大,240.0
巨人,坂本工宜,240.0
巨人,堀岡隼人,240.0
巨人,メルセデス,230.0
巨人,坂本勇人,35000.0
巨人,陽岱鋼,30000.0
巨人,阿部慎之助,26000.0
巨人,クルーズ,24300.0
巨人,長野久義,22500.0
巨人,村田修一,22000.0
巨人,マギー,19300.0
巨人,片岡治大,6000.0
巨人,小林誠司,5000.0
巨人,亀井善行,4900.0
巨人,相川亮二,4500.0
巨人,実松一成,3700.0
巨人,橋本到,2900.0
巨人,立岡宗一郎,2900.0
巨人,寺内崇幸,2800.0
巨人,松本哲也,2400.0
巨人,脇谷亮太,2160.0
巨人,堂上剛,2000.0
巨人,吉川大幾,1700.0
巨人,吉川尚輝,1500.0
巨人,重信慎之介,1400.0
巨人,中井大介,1400.0
巨人,山本泰寛,1280.0
巨人,岡本和真,1200.0
巨人,藤村大介,1000.0
巨人,石川慎吾,1000.0
巨人,辻東倫,900.0
巨人,北篤,850.0
巨人,宇佐見慎吾,800.0
巨人,和田恋,780.0
巨人,松崎啄也,720.0
巨人,河野元貴,670.0
巨人,鬼屋敷正人,620.0
巨人,坂口真規,575.0
巨人,高橋洸,510.0
巨人,青山誠,320.0
巨人,田中貴也,300.0
巨人,増田大輝,290.0
巨人,川相拓也,290.0
巨人,田島洸成,240.0
巨人,加藤脩平,240.0
巨人,松原聖弥,240.0
巨人,高山竜太朗,240.0
巨人,松澤裕介,240.0
巨人,マルティネス,230.0
横浜,久保康友,10000.0
横浜,ウィーランド,9000.0
横浜,パットン,9000.0
横浜,山崎康晃,8000.0
横浜,井納翔一,7200.0
横浜,三上朋也,6000.0
横浜,石田健大,4800.0
横浜,須田幸太,4400.0
横浜,田中健二朗,4300.0
横浜,林昌範,4100.0
横浜,今永昇太,4000.0
横浜,加賀繁,2800.0
横浜,高崎健太郎,2500.0
横浜,三嶋一輝,2300.0
横浜,国吉佑樹,2000.0
横浜,砂田毅樹,1700.0
横浜,濱口遥大,1500.0
横浜,熊原健人,1300.0
横浜,藤岡好明,1200.0
横浜,水野滉也,1200.0
横浜,平田真吾,1000.0
横浜,柿田裕太,900.0
横浜,小林寛,900.0
横浜,福地元春,900.0
横浜,野川拓斗,800.0
横浜,平良拳太郎,750.0
横浜,進藤拓也,750.0
横浜,尾仲祐哉,720.0
横浜,綾部翔,560.0
横浜,京山将弥,550.0
